age,intensity
604000,0.877103
605000,0.872068
606000,0.88215
607000,0.920918
608000,0.959946
609000,0.957929
610000,0.899419
611000,0.880517
612000,0.857756
613000,0.856
614000,0.881358
615000,0.893864
616000,0.772798
617000,0.73831
618000,0.738384
619000,0.729515
620000,0.733152
621000,0.716885
622000,0.749456
623000,0.735873
624000,0.73147
625000,0.73215
626000,0.697415
627000,0.685391
628000,0.69264
629000,0.756606
630000,0.835242
631000,0.829899
632000,0.874443
633000,0.926695
634000,0.93241
635000,1.00552
636000,1.08789
637000,1.13164
638000,1.14276
639000,1.18002
640000,1.16806
641000,1.14495
642000,1.12095
643000,1.04111
644000,0.946895
645000,1.07355
646000,1.08707
647000,1.05482
648000,0.982966
649000,0.948726
650000,0.938929
651000,1.00341
652000,1.00793
653000,0.917937
654000,0.90955
655000,0.990487
656000,0.992331
657000,0.977684
658000,1.0119
659000,1.00965
660000,1.03362
661000,1.00365
662000,0.966044
663000,0.930492
664000,0.918036
665000,0.832954
666000,0.777165
667000,0.740908
668000,0.75736
669000,0.742157
670000,0.687952
671000,0.635737
672000,0.588867
673000,0.586442
674000,0.593147
675000,0.545163
676000,0.486009
677000,0.514646
678000,0.491885
679000,0.51853
680000,0.494421
681000,0.484896
682000,0.490178
683000,0.521487
684000,0.557335
685000,0.580567
686000,0.597241
687000,0.646017
688000,0.732509
689000,0.757162
690000,0.788261
691000,0.746598
692000,0.722798
693000,0.685106
694000,0.613174
695000,0.585341
696000,0.518258
697000,0.473404
698000,0.505628
699000,0.537952
700000,0.556865
701000,0.55814
702000,0.629787
703000,0.632867
704000,0.637271
705000,0.666836
706000,0.698516
707000,0.721141
708000,0.733251
709000,0.742813
710000,0.767095
711000,0.796054
712000,0.884339
713000,0.940475
714000,1.03138
715000,1.1308
716000,1.09623
717000,1.11162
718000,1.0848
719000,0.991774
720000,0.953018
721000,0.954441
722000,0.93925
723000,0.947984
724000,0.845646
725000,0.77834
726000,0.722625
727000,0.702053
728000,0.671611
729000,0.902721
730000,0.908288
731000,0.965302
732000,0.975643
733000,0.978699
734000,1.00377
735000,1.08057
736000,1.04801
737000,1.00721
738000,1.00565
739000,0.934476
740000,0.941638
741000,0.986244
742000,1.02955
743000,1.04703
744000,1.06878
745000,1.09869
746000,0.973206
747000,1.05826
748000,1.08157
749000,1.11483
750000,1.07465
751000,1.14067
752000,1.1155
753000,1.02861
754000,1.07016
755000,0.997613
756000,0.994099
757000,1.006
758000,1.0711
759000,1.083
760000,1.10967
761000,1.1215
762000,1.02292
763000,0.971326
764000,0.931692
765000,0.903031
766000,0.87286
767000,0.816613
768000,0.765698
769000,0.711677
770000,0.653031
771000,0.589844
772000,0.501596
773000,0.451744
774000,0.388706
775000,0.347081
776000,0.29473
777000,0.223392
778000,0.111076
779000,0.095287
780000,0.123329
781000,0.213075
782000,0.243753
783000,0.270918
784000,0.23549
785000,0.200779
786000,0.200148
787000,0.237271
788000,0.269668
789000,0.290858
790000,0.322439
791000,0.396573
792000,0.461467
793000,0.480863
794000,0.517095
795000,0.429379
796000,0.328414
797000,0.267528
798000,0.245905
799000,0.297229
800000,0.377882
